distance,count,time,ln count,count uncertainty,ln count uncertainty
0,176974,10,12.08375811,420.6827783,0.002377088
0.51,94281,10,11.45403496,307.0521128,0.003256776
1.03,43418,10,10.67862938,208.3698635,0.004799158
1.52,19277,10,9.866667954,138.8416364,0.00720245
0.22,126451,10,11.74761016,355.5994938,0.002812152
0.73,66007,10,11.09751608,256.9182749,0.003892288
1.21,30359,10,10.32084829,174.2383425,0.005739265
1.7,12724,10,9.451245253,112.8007092,0.008865192
1.97,7306,10,8.896451207,85.47514259,0.011699308
2.18,4438,10,8.397959103,66.6183158,0.015010887
2.47,2154,10,7.675081858,46.41120554,0.021546521
2.67,1150,10,7.047517221,33.91164992,0.029488391
2.95,551,10,6.311734809,23.47338919,0.042601432
3.15,321,10,5.771441123,17.91647287,0.055814557
3.36,186,10,5.225746674,13.6381817,0.073323558
3.45,166,10,5.111987788,12.88409873,0.077615053
3.64,105,10,4.65396035,10.24695077,0.097590007
3.88,103,10,4.634728988,10.14889157,0.098532928
4.12,88,10,4.477336814,9.38083152,0.106600358
4.31,78,10,4.356708827,8.831760866,0.113227703
4.52,79,10,4.369447852,8.888194417,0.11250879
5.01,87,10,4.465908119,9.327379053,0.107211253